"%s already exists","%s exista deja"
"%s already exist","%s exista deja"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Alege --"
"This category and its products","Aceasta categorie si produsele ei"
"This category and its child categories","Aceasta categorie si subcategoriile ei"
"This Store View cannot be deleted","Aceasta vitrina nu poate fi stearsa."
"This Store View cannot be deleted.","Aceasta vitrina nu poate fi stearsa."
"This is a required field.","Acest camp este obligatoriu."
"This Store cannot be deleted","Acest magazin nu poate fi sters."
"This Store cannot be deleted.","Acest magazin nu poate fi sters."
"This Website cannot be deleted","Acest site nu poate fi sters."
"This Website cannot be deleted.","Acest site nu poate fi sters."
"Enabled","Activat"
"Enabled for Admin","Activat pentru admin"
"Enabled for Frontend","Activat pentru client"
"Add Store Code to Urls","Adauga codul magazinului la Url"
"Store Email Addresses","Adrese mail pt magazin"
"Cancel","Anuleaza"
"Advanced","Avansat"
"Base directory","Base directory"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Database was successfuly backed up.","Bazei de date i s-a facut o copie de siguranta."
"Block with name ""%s"" already exists","Blocul cu numele ""%s"" exista deja"
"Clear All Items","Clear All Items"
"Code","Cod"
"Code pools root directory","Code pools root directory"
"Comment","Comment"
"Compare Products","Compara produse"
"Compare Items","Compare Items"
"Compare Products - %d Items","Compare Products - %d Items"
"Contact Information","Contact Information"
"General contact","Contact principal"
"Contact Us","Contact Us"
"Controller file was loaded but class does not exist","Controller file was loaded but class does not exist"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Create Store","Creaza magazin"
"Create Website","Creaza site"
"Create Store View","Creaza vitrina"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Current package name","Current package name"
"Date From","Data de la"
"Date To","Data la"
"Debug","Debug"
"Default no-route url","Default no-route url"
"Default web url","Default web url"
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view."
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website."
"Design","Design"
"Custom Design","Design personalizat"
"Developer","Developer"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable email communications","Disable email communications"
"Disable modules output","Disable modules output"
"This category only","Doar aceasta categorie"
"Duplicate Of Template Code","Duplicate Of Template Code"
"Email","Email"
"Custom email 1","Email personal 1"
"Custom email 2","Email personal 2"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Empty main table name"
"Error in file: ""%s"" - %s","Eroare in fisier: ""%s"" - %s"
"Error while saving. Please try again later.","Eroare la salvare. Incearca mai tarziu."
"Error: Passwords do not match","Error: Passwords do not match"
"Are you sure?","Esti sigur?"
"Exception Log File Name","Exception Log File Name"
"Sender email","Expeditor mail"
"Forgot Password Email Sender","Expeditor mail parole uitate"
"Filesystem","Filesystem"
"Media files directory","Folder fisiere media"
"General","General"
"Manage Stores","Gestioneaza magazine"
"Global","Global"
"Go","Go"
"Host","Host"
"Id path for specified store","Id path for specified store"
"Before modifying the website code please make sure that it is not used in index.php","Inainte de a modifica codul site-ului verifica sa nu fie folosit in index.php"
"Before modifying the store view code please make sure that it is not used in index.php","Inainte de a modifica codul vitrinei verifica sa nu fie folosit in index.php"
"Back","Inapoi"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Store Information","Informatii magazin"
"Website Information","Informatii site"
"Store View Information","Informatii vitrina"
"Invalid base dir type specified: %s","Invalid base dir type specified: %s"
"Invalid base url type","Invalid base url type"
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","Invalid block type: %s"
"Invalid block: %s","Invalid block: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Invalid layout update argument, expected Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code: ","Invalid transactional email code: "
"Invalid websites configuration path: %s","Invalid websites configuration path: %s"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Layout","Layout"
