"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s a fost adaugat la Favorite. Click <a href=""%2$s"">aici</a> pentru a continua cumparaturile"
"* Required Fields","* campuri obligatorii"
"Enabled","Activat"
"Update Wishlist","Actualizeaza favorite"
"Add to Wishlist","Adauga la Favorite"
"Added On","Adaugat la"
"Email address can't be empty.","Adresa de email nu poate fi goala."
"Email addresses, separated by commas","Adrese email, separate de virgula"
"You input not valid email address.","Ai introdus o adresa de email nevalida."
"Are You sure?","Are You sure?"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Bifeaza daca vrei sa adaugi un link catre un feed RSS in lista ta de favorite."
"Comment","Comentariu"
"There was an error while adding item to wishlist.","Eroare la adaugarea articolului in lista de favorite."
"There was an error while adding item to wishlist: %s","Eroare la adaugarea articolului in lista de favorite: %s"
"There was an error while deleting item from wishlist.","Eroare la stergerea articolului din lista de favorite."
"There was an error while deleting item from wishlist: %s","Eroare la stergerea articolului din lista de favorite: %s"
"Are you sure you would like to remove this item from the wishlist?","Esti sigur ca vrei sa stergi articolul din lista de favorite?"
"Are you sure you want to remove this product from your wishlist?","Esti sigur ca vrei sa stergi produsul de la Favorite?"
"Email Sender","Expeditor email"
"Wishlist","Favorite"
"My Wishlist","Favorite"
"My Wishlist (%d item)","Favorite (%d item)"
"My Wishlist (%d items)","Favorite (%d items)"
"%s's Wishlist","Favoritele lui %s"
"RSS Feed","Feed RSS"
"Back","inapoi"
"Sharing Information","Informatii share favorite"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Introdu adrese de mail valide, separate de virgula. De exemplu, fifi1987@domeniu.ro."
"Please, enter your comments...","Introdu comentariile..."
"RSS link to %s's wishlist","Link RSS catre favoritele lui %s'"
"Your Wishlist was successfully shared","Lista de favorite a fost trimisa cu succes."
"Wishlist is empty now.","Lista de favorite e goala."
"Go to Wishlist","Mergi la favorite"
"Message","Mesaj"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"You have no items in your wishlist.","Nu ai nimic in lista de favorite."
"Cannot create wishlist","Nu pot crea lista de favorite"
"Can't save description %s","Nu pot salva descrierea %s"
"Cannot specify product","Nu pot specifica produsul"
"General Options","Optiuni generale"
"Share options","Optiuni share favorite"
"Wishlist Sharing","Partajare favorite"
"Product","Produs"
"This product(s) is currently out of stock:","Produsul nu este momentan in stoc:"
"Add to Cart","Pune in cos"
"Add All to Cart","Pune toate in cos"
"Remove Item","Sterge articol"
"Email Template","Template de email"
"Share Wishlist","Trimite favoritele"
"Share Your Wishlist","Trimite lista ta de favorite"
"Last Added Items","Ultimele adaugate"
"View Product","Vezi produs"
"Your Wishlist was successfully shared","Your Wishlist was successfully shared"
